Crisp,Detailed
"Plaksha University, launched in 2019, is a forward-thinking institution created by a group of entrepreneurs and business leaders who aimed to revolutionize technology education. They established the Reimagining Higher Education Foundation in 2017, with a vision to modernize engineering and technology education in India and globally. Plaksha University's campus in Mohali was inaugurated in February 2019, with plans to open for students in August 2021.","Plaksha University is the culmination of a visionary initiative that began in 2015 when a group of forward-thinking individuals, predominantly entrepreneurs and business leaders, engaged in discussions about the imperative need to reform technology education. Recognizing the necessity for a transformation in engineering and technology education in India and worldwide, these discussions materialized into a concrete plan. In 2017, the Reimagining Higher Education Foundation, a Section 8 not-for-profit company, was established with a clear mission: to translate the visionary concept into a practical reality. This foundation serves as the driving force behind the creation of Plaksha University. The groundbreaking ceremony for Plaksha University's dedicated campus took place in Mohali in February 2019, marking a significant milestone in the journey towards redefining technology education. The goal was to welcome the first cohort of students to the campus by August 2021, ushering in a new era of innovative and holistic technology education. Plaksha University is set to play a pivotal role in shaping the future of engineering and technology education by embracing a transformative and contemporary approach."
"Plaksha University is built on three foundational pillars. The first pillar focuses on reimagining technology education by offering an interdisciplinary curriculum that blends liberal arts, design, hands-on learning, and self-development. The second pillar is centered on fostering a robust research and innovation ecosystem through industry-sponsored research, academia-industry connections, and mentorship by top industry leaders. The third pillar revolves around addressing real-world grand challenges, promoting impact-focused research and exploring tomorrow's technologies.","Plaksha University's mission is underpinned by three fundamental pillars. The first pillar involves the complete reimagination of technology education. Plaksha's approach integrates a broad range of disciplines, including liberal arts and design, into its technology curriculum. This innovative approach emphasizes hands-on pedagogy and personal development, ensuring that students graduate with a well-rounded skill set. The second pillar revolves around creating a thriving research and innovation ecosystem. Plaksha is committed to advancing industry-sponsored research and building strong ties between academia and the business world. Top executives and entrepreneurs provide mentorship to students, fostering an environment where cutting-edge research and innovation are not just encouraged but actively pursued. The third pillar is focused on addressing grand challenges. Plaksha University's approach is structured around real-time problems and impact-focused research. Faculty and students alike are encouraged to explore the technologies of tomorrow and tackle significant issues that have a lasting, positive effect on society. By embracing these three pillars, Plaksha University is dedicated to preparing students to be leaders and innovators in the ever-evolving landscape of technology and beyond."
"The founders of Plaksha University are influential business leaders and tech entrepreneurs spanning Hong Kong, India, London, New York, Silicon Valley, Singapore, and Tokyo. They are not only generous philanthropic investors but also actively mentor students and work towards fostering a community of change-makers and impact creators.","The driving force behind Plaksha University consists of a diverse group of founders who are prominent business leaders and technology entrepreneurs with a global presence. Hailing from key hubs of innovation, including Hong Kong, India, London, New York, Silicon Valley, Singapore, and Tokyo, these founders are deeply committed to the university's vision. They go beyond financial support by actively engaging in philanthropy, providing mentorship to students, and actively contributing to the establishment of a community of individuals dedicated to effecting positive change and creating a lasting impact. This hands-on involvement ensures that the university is not just an institution of learning but a dynamic ecosystem that empowers students to become future change-makers and innovators."
"In 2017, Plaksha University established an Academic Advisory Board, consisting of 14 eminent academicians and thought leaders from around the world. These experts, renowned for their transformative work in education, play a pivotal role in shaping the university's vision and academic programs.","In 2017, Plaksha University took a significant step in its journey by forming an esteemed Academic Advisory Board. Comprising 14 eminent academicians and thought leaders from various corners of the globe, this board is a testament to the university's commitment to excellence and innovation in education. These distinguished members are pioneers in their respective institutions, recognized for their groundbreaking contributions to the field of education. They serve as invaluable guides, actively shaping the university's vision and academic programs. The Academic Advisory Board's presence reinforces Plaksha's dedication to creating a world-class educational institution at the forefront of transforming technology education."
"Plaksha University collaborates with esteemed institutions worldwide, including UC Berkeley, Perdue University, SRI International, Indian Institute of Science, Indian Institute of Technology Kanpur, and this collaborative network continues to expand. All our partners are united by a common vision—to revolutionize engineering education and research. Together, we are actively engaged in curriculum development, delivery, faculty and student exchanges, and collaborative research, working collectively to drive innovation.","Plaksha University's commitment to fostering transformative engineering education and research is underpinned by a global network of esteemed partners. This network, which currently includes UC Berkeley, Perdue University, SRI International, Indian Institute of Science, Indian Institute of Technology Kanpur, and many others, is a testament to our shared vision. As we continue to grow, these partnerships are pivotal in our pursuit of reimagining education and research in the engineering and technology domains. Together with our partners, we are deeply involved in the intricate process of curriculum design, ensuring that it remains agile and responsive to the evolving needs of the tech industry. Faculty and student exchanges between institutions provide a rich tapestry of experiences and ideas that enhance the academic environment. Collaboration extends to engaging in cutting-edge research initiatives, addressing complex challenges and pioneering innovations in the fields of engineering and technology. As our network of partners keeps expanding, so does the collective commitment to driving positive change in the realm of engineering education and research."
"Plaksha University's ambitious 2035 vision includes enrolling 8,000 students across its programs, engaging 50,000 students online, and nurturing a vibrant community of 500 faculty and researchers. At the core of this vision is a commitment to fostering diversity and inclusion.","Plaksha University's forward-looking vision for 2035 encompasses substantial growth and impact. The university aspires to enroll 8,000 students across its programs, extending its reach to 50,000 students through online education. This growth is supported by a diverse community of 500 faculty and researchers dedicated to driving innovation and advancing knowledge. Importantly, Plaksha's vision is underpinned by a profound commitment to inclusion, creating a vibrant and equitable academic environment that reflects the diverse tapestry of society. This multi-faceted vision reflects Plaksha's dedication to reshaping the landscape of technology education and research."
"Plaksha University's distinguished faculty includes experts from renowned institutions like MIT, Stanford, Cornell, University of Cambridge, NTU Singapore, IIT, IISc, among others.","The faculty at Plaksha University is a dynamic assembly of accomplished educators and researchers. Hailing from prestigious institutions globally, including MIT, Stanford, Cornell, University of Cambridge, NTU Singapore, as well as top Indian institutions like IIT and IISc, they bring a wealth of knowledge and expertise to the university. Their diverse backgrounds and experiences contribute to a rich and inclusive learning environment, fostering innovation and academic excellence. This exceptional faculty plays a pivotal role in driving Plaksha's mission to reimagine technology education and research."
"At Plaksha University, our values are encapsulated in the acronym CREATE, which stands for Curious, Rigorous, Enterprising, Authentic, Thankful, and Exemplary. These values underpin our commitment to putting creators first. We are bold, imaginative, passionate, and audacious, striving to lead with original thinking and daring to explore the uncharted. We aspire to be leaders who are committed, compassionate, agile, thorough, courageous, and grateful—reflecting the essence of what it means to be human.
","Plaksha University's core values are encapsulated in the acronym CREATE, which represents Curious, Rigorous, Enterprising, Authentic, Thankful, and Exemplary. These values are the foundation of our commitment to putting creators first. We define ourselves as a community that is bold, imaginative, passionate, and audacious. We take pride in our original thinking and our proclivity for leading through action and innovation.

At Plaksha, we embrace the challenge of venturing into the unknown and exploring the untried. This adventurous spirit is coupled with an unwavering commitment to the essence of humanity, remaining true to the heart of what it means to be human. We aspire to be the kind of leaders that the world needs—leaders who are not only committed but also compassionate, agile, thorough, courageous, and deeply grateful for the opportunities to create and make a difference. These values are not just words; they are the guiding principles that shape our collective identity and set the tone for a transformative educational experience."
"Plaksha University has established various committees and regulatory bodies to ensure a safe, ethical, and quality-driven educational environment. These include committees such as Anti-Ragging, Disciplinary, Safety, Grievance Redressal, and many more, each focusing on specific aspects of university governance.","Plaksha University's commitment to a well-regulated and safe educational ecosystem is reflected in the numerous committees and regulatory bodies in place. These include the Anti-Ragging Committee, dedicated to preventing harassment on campus; the Disciplinary Committee, responsible for maintaining order and upholding university regulations; the Safety Committee, which ensures the safety of all individuals on campus; and the Grievance Redressal Committee, offering a platform for students and staff to address concerns and find solutions. Additionally, there is the Ethics Committee, which promotes ethical conduct in research; the Internal Complaints Committee, addressing sexual harassment issues; the Internal Quality Assurance Cell, responsible for maintaining academic quality; and the Election Commission, overseeing fair elections. The Board of Management, Academic Council, and Governing Body play crucial roles in governance, while the Library Committee manages educational resources. Furthermore, the university has a POSH (Prevention of Sexual Harassment) Policy in place, enforced by a designated Nodal Officer. The Academic Integrity Committee and Scholarship Committee also contribute to academic standards and financial support, respectively."
"To get in touch with Plaksha University's key personnel and offices, refer to the following contacts:

Office of the Registrar: Mr. Sanjay Bhatnagar, Registrar
Office of Academic Affairs: Prof. Nandini Kannan, Dean Academics; Dr. Srikant Srinivasan, Associate Dean, Academics; Dr. Manoj Kannan, Associate Dean, Student Life
Office of Research: Prof. Vishal Garg, Dean, Research
Office of Student Life: Dr. Manoj Kannan, Associate Dean, Student Life; Mr. Karan Singh, Associate Director, Student Life, and Nodal Officer for Anti-Ragging; Mr. Raj Kumar, Warden (Boys); Ms. Sonu Babrah, Warden (Girls).
For the most up-to-date information, visit Plaksha University's Contact Us page.","To get in touch with Plaksha University's key personnel and offices, refer to the following contacts:

Office of the Registrar: Mr. Sanjay Bhatnagar, Registrar
Office of Academic Affairs: Prof. Nandini Kannan, Dean Academics; Dr. Srikant Srinivasan, Associate Dean, Academics; Dr. Manoj Kannan, Associate Dean, Student Life
Office of Research: Prof. Vishal Garg, Dean, Research
Office of Student Life: Dr. Manoj Kannan, Associate Dean, Student Life; Mr. Karan Singh, Associate Director, Student Life, and Nodal Officer for Anti-Ragging; Mr. Raj Kumar, Warden (Boys); Ms. Sonu Babrah, Warden (Girls).
For the most up-to-date information, visit Plaksha University's Contact Us page."
